Tray 6, Leftover 2, estimation: 0.000000
Tray 6, Leftover 2, estimation: 0.000000
Tray 6, Leftover 2, estimation: 0.000000
Tray 6, Leftover 2, estimation: 0.000000
Tray 6, Leftover 2, estimation: 0.000000
Tray 6, Leftover 2, estimation: 0.000000
Tray 6, Leftover 2, estimation: 0.000000
Tray 6, Leftover 2, estimation: 0.000000
Tray 6, Leftover 2, estimation: 0.000000
Tray 6, Leftover 2, estimation: 0.000000
Tray 6, Leftover 2, estimation: 0.000000
Tray 6, Leftover 2, estimation: 0.000000
Tray 6, Leftover 2, estimation: 0.000000
